,StockCode,Description,Cluster
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9
1,71053,WHITE METAL LANTERN,92
2,84406B,CREAM CUPID HEARTS COAT HANGER,88
3,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,27
4,84029E,RED WOOLLY HOTTIE WHITE HEART.,45
5,22752,SET  BABUSHKA NESTING BOXES,55
6,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9
7,22633,HAND WARMER UNION JACK,36
8,22632,HAND WARMER RED POLKA DOT,6
9,84879,ASSORTED COLOUR BIRD ORNAMENT,11
10,22745,POPPY'S PLAYHOUSE BEDROOM ,6
11,22748,POPPY'S PLAYHOUSE KITCHEN,6
12,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2
13,22310,IVORY KNITTED MUG COSY ,58
14,84969,BOX OF  ASSORTED COLOUR TEASPOONS,11
15,22623,BOX OF VINTAGE JIGSAW BLOCKS ,34
16,22622,BOX OF VINTAGE ALPHABET BLOCKS,35
17,21754,HOME BUILDING BLOCK WORD,75
18,21755,LOVE BUILDING BLOCK WORD,6
19,21777,RECIPE BOX WITH METAL HEART,34
20,48187,DOORMAT NEW ENGLAND,88
21,22960,JAM MAKING SET WITH JARS,96
22,22913,RED COAT RACK PARIS FASHION,6
23,22912,YELLOW COAT RACK PARIS FASHION,6
24,22914,BLUE COAT RACK PARIS FASHION,6
25,21756,BATH BUILDING BLOCK WORD,6
26,22728,ALARM CLOCK BAKELIKE PINK,4
27,22727,ALARM CLOCK BAKELIKE RED ,4
28,22726,ALARM CLOCK BAKELIKE GREEN,4
29,21724,PANDA AND BUNNIES STICKER SHEET,6
30,21883,STARS GIFT TAPE ,55
31,10002,INFLATABLE POLITICAL GLOBE ,6
32,21791,VINTAGE HEADS AND TAILS CARD GAME ,83
33,21035,SET/ RED RETROSPOT TEA TOWELS ,86
34,22326,ROUND SNACK BOXES SET OF WOODLAND ,96
35,22629,SPACEBOY LUNCH BOX ,34
36,22659,LUNCH BOX I LOVE LONDON,34
37,22631,CIRCUS PARADE LUNCH BOX ,73
38,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,17
39,21731,RED TOADSTOOL LED NIGHT LIGHT,6
40,22900, SET  TEA TOWELS I LOVE LONDON ,86
41,21913,VINTAGE SEASIDE JIGSAW PUZZLES,5
42,22540,MINI JIGSAW CIRCUS PARADE ,73
43,22544,MINI JIGSAW SPACEBOY,6
44,22492,MINI PAINT SET VINTAGE ,96
46,22086,PAPER CHAIN KIT 'S CHRISTMAS ,74
52,20679,EDWARDIAN PARASOL RED,6
53,37370,RETRO COFFEE MUGS ASSORTED,11
54,21871,SAVE THE PLANET MUG,58
55,21071,VINTAGE BILLBOARD DRINK ME MUG,58
56,21068,VINTAGE BILLBOARD LOVE/HATE MUG,58
57,82483,WOOD  DRAWER CABINET WHITE FINISH,45
58,82486,WOOD S/ CABINET ANT WHITE FINISH,45
59,82482,WOODEN PICTURE FRAME WHITE FINISH,45
60,82494L,WOODEN FRAME ANTIQUE WHITE ,45
65,21258,VICTORIAN SEWING BOX LARGE,34
82,22114,HOT WATER BOTTLE TEA AND SYMPATHY,27
83,21733,RED HANGING HEART T-LIGHT HOLDER,9
86,22386,JUMBO BAG PINK POLKADOT,14
87,85099C,JUMBO  BAG BAROQUE BLACK WHITE,63
88,21033,JUMBO BAG CHARLIE AND LOLA TOYS,21
89,20723,STRAWBERRY CHARLOTTE BAG,21
90,84997B,RED  PIECE RETROSPOT CUTLERY SET,61
91,84997C,BLUE  PIECE POLKADOT CUTLERY SET,14
92,21094,SET/ RED SPOTTY PAPER PLATES,1
93,20725,LUNCH BAG RED RETROSPOT,61
94,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,34
95,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,34
96,21212,PACK OF  RETROSPOT CAKE CASES,54
97,21975,PACK OF  DINOSAUR CAKE CASES,54
98,21977,PACK OF  PINK PAISLEY CAKE CASES,54
99,84991, TEATIME FAIRY CAKE CASES,54
100,84519A,TOMATO CHARLIE+LOLA COASTER SET,27
101,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,27
102,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,27
103,21931,JUMBO STORAGE BAG SUKI,21
104,21929,JUMBO BAG PINK VINTAGE PAISLEY,12
105,22961,JAM MAKING SET PRINTED,96
106,22139,RETROSPOT TEA SET CERAMIC  PC ,86
107,84854,GIRLY PINK TOOL SET,96
108,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12
109,82567,"AIRLINE LOUNGE,METAL SIGN",8
110,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,99
111,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,81
112,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,81
113,71270,PHOTO CLIP LINE,19
114,22262,FELT EGG COSY CHICKEN,56
115,22637,PIGGY BANK RETROSPOT ,61
116,21934,SKULL SHOULDER BAG,21
117,21169,YOU'RE CONFUSING ME METAL SIGN ,8
118,21166,COOK WITH WINE METAL SIGN ,8
119,21175,GIN + TONIC DIET METAL SIGN,8
120,37444A,YELLOW BREAKFAST CUP AND SAUCER,48
121,37444C,PINK BREAKFAST CUP AND SAUCER ,48
123,22083,PAPER CHAIN KIT RETROSPOT,74
124,84971S,SMALL HEART FLOWERS HOOK ,44
126,47580,TEA TIME DES TEA COSY,86
127,22261,FELT EGG COSY WHITE RABBIT ,64
128,84832,ZINC WILLIE WINKIE  CANDLE STICK,22
129,22644,CERAMIC CHERRY CAKE MONEY BANK,89
130,21533,RETROSPOT LARGE MILK JUG,61
131,21557,SET OF  FUNKY BEAKERS,96
132,15056BL,EDWARDIAN PARASOL BLACK,13
133,15056N,EDWARDIAN PARASOL NATURAL,6
134,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,89
135,22176,BLUE OWL SOFT TOY,6
136,22438,BALLOON ART MAKE YOUR OWN FLOWERS,6
138,22778,GLASS CLOCHE SMALL,7
139,22719,GUMBALL MONOCHROME COAT RACK,6
140,21523,DOORMAT FANCY FONT HOME SWEET HOME,75
143,21912,VINTAGE SNAKES & LADDERS,5
144,21832,CHOCOLATE CALCULATOR,6
146,22379,RECYCLING BAG RETROSPOT ,61
147,22381,TOY TIDY PINK POLKADOT,14
148,22798,ANTIQUE GLASS DRESSING TABLE POT,7
150,22926,IVORY GIANT GARDEN THERMOMETER,24
151,22839, TIER CAKE TIN GREEN AND CREAM,49
152,22838, TIER CAKE TIN RED AND CREAM,49
153,22783,SET  WICKER OVAL BASKETS W LIDS,44
155,82484,WOOD BLACK BOARD ANT WHITE FINISH,45
156,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9
157,22464,HANGING METAL HEART LANTERN,92
158,21324,HANGING MEDINA LANTERN SMALL,92
159,22457,NATURAL SLATE HEART CHALKBOARD ,68
160,22469,HEART OF WICKER SMALL,44
161,22470,HEART OF WICKER LARGE,44
162,22224,WHITE LOVEBIRD LANTERN,92
163,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,6
164,22189,CREAM HEART CARD HOLDER,83
165,22427,ENAMEL FLOWER JUG CREAM,46
166,22428,ENAMEL FIRE BUCKET CREAM,46
167,22424,ENAMEL BREAD BIN CREAM,46
171,22663,JUMBO BAG DOLLY GIRL DESIGN,17
172,85049A,TRADITIONAL CHRISTMAS RIBBONS,69
173,22168,ORGANISER WOOD ANTIQUE WHITE ,45
174,22662,LUNCH BAG DOLLY GIRL DESIGN,17
175,84880,WHITE WIRE EGG HOLDER,48
177,85099B,JUMBO BAG RED RETROSPOT,61
178,79321,CHILLI LIGHTS,65
179,22780,LIGHT GARLAND BUTTERFILES PINK,28
180,22779,WOODEN OWLS LIGHT GARLAND ,28
181,22466,FAIRY TALE COTTAGE NIGHTLIGHT,6
186,21363,HOME SMALL WOOD LETTERS,75
187,21411,GINGHAM HEART  DOORSTOP RED,6
188,22318,FIVE HEART HANGING DECORATION,98
190,22915,ASSORTED BOTTLE TOP  MAGNETS ,11
191,22922,FRIDGE MAGNETS US DINER ASSORTED,11
192,22969,HOMEMADE JAM SCENTED CANDLES,18
193,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,11
194,21115,ROSE CARAVAN DOORSTOP,67
196,22242, HOOK HANGER MAGIC TOADSTOOL,68
197,22941,CHRISTMAS LIGHTS  REINDEER,65
198,21622,VINTAGE UNION JACK CUSHION COVER,36
200,35004C,SET OF  COLOURED  FLYING DUCKS,96
201,35004G,SET OF  GOLD FLYING DUCKS,87
202,85014B,RED RETROSPOT UMBRELLA,61
203,85014A,BLACK/BLUE POLKADOT UMBRELLA,14
204,22193,RED DINER WALL CLOCK,4
207,22192,BLUE DINER WALL CLOCK,4
208,22191,IVORY DINER WALL CLOCK,4
209,22195,LARGE HEART MEASURING SPOONS,44
210,22196,SMALL HEART MEASURING SPOONS,44
214,22962,JAM JAR WITH PINK LID,72
215,22963,JAM JAR WITH GREEN LID,72
216,22968,ROSE COTTAGE KEEPSAKE BOX ,67
217,84970S,HANGING HEART ZINC T-LIGHT HOLDER,9
218,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,74
219,20668,DISCO BALL CHRISTMAS DECORATION,53
221,22197,SMALL POPCORN HOLDER,6
222,22198,LARGE POPCORN HOLDER ,44
224,21080,SET/ RED RETROSPOT PAPER NAPKINS ,61
226,21086,SET/ RED SPOTTY PAPER CUPS,1
227,21786,POLKADOT RAIN HAT ,14
228,22654,DELUXE SEWING KIT ,74
229,21485,RETROSPOT HEART HOT WATER BOTTLE,27
231,84030E,ENGLISH ROSE HOT WATER BOTTLE,27
232,22174,PHOTO CUBE,19
242,22150, STRIPEY MICE FELTCRAFT,2
243,22619,SET OF  SOLDIER SKITTLES,96
244,21891,TRADITIONAL WOODEN SKIPPING ROPE,45
245,21889,WOODEN BOX OF DOMINOES,34
246,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,6
247,22127,PARTY CONES CARNIVAL ASSORTED,11
248,22128,PARTY CONES CANDY ASSORTED,11
249,22502,PICNIC BASKET WICKER SMALL,44
251,22338,STAR DECORATION PAINTED ZINC ,22
252,22180,RETROSPOT LAMP,61
253,21506,"FANCY FONT BIRTHDAY CARD, ",83
255,22866,HAND WARMER SCOTTY DOG DESIGN,60
256,22865,HAND WARMER OWL DESIGN,99
259,22349,DOG BOWL CHASING BALL DESIGN,60
260,22558,CLOTHES PEGS RETROSPOT PACK  ,61
261,85152,HAND OVER THE CHOCOLATE   SIGN ,8
263,22652,TRAVEL SEWING KIT,74
264,22188,BLACK HEART CARD HOLDER,83
269,21484,CHICK GREY HOT WATER BOTTLE,27
270,21314,SMALL GLASS HEART TRINKET POT,7
271,22730,ALARM CLOCK BAKELIKE IVORY,4
273,22729,ALARM CLOCK BAKELIKE ORANGE,4
276,22867,HAND WARMER BIRD DESIGN,99
294,22803,IVORY EMBROIDERED QUILT ,6
296,35004B,SET OF  BLACK FLYING DUCKS,96
298,21980,PACK OF  RED RETROSPOT TISSUES ,90
299,21844,RED RETROSPOT MUG,61
300,22468,BABUSHKA LIGHTS STRING OF ,65
303,48185,DOORMAT FAIRY CAKE,78
307,21232,STRAWBERRY CERAMIC TRINKET BOX,34
308,22064,PINK DOUGHNUT TRINKET POT ,6
309,22449,SILK PURSE BABUSHKA PINK,55
311,22835,HOT WATER BOTTLE I AM SO POORLY,27
312,22112,CHOCOLATE HOT WATER BOTTLE,27
313,21479,WHITE SKULL HOT WATER BOTTLE ,27
314,22111,SCOTTIE DOG HOT WATER BOTTLE,27
318,22110,BIRD HOUSE HOT WATER BOTTLE,27
319,22098,BOUDOIR SQUARE TISSUE BOX,23
320,22100,SKULLS SQUARE TISSUE BOX,23
321,22766,PHOTO FRAME CORNICE,19
322,22451,SILK PURSE BABUSHKA RED,55
323,22549,PICTURE DOMINOES,6
324,84744,S/ SEW ON CROCHET FLOWERS,6
325,85049E,SCANDINAVIAN REDS RIBBONS,69
326,21328,BALLOONS  WRITING SET ,96
328,17091A,LAVENDER INCENSE IN TIN,57
329,22473,TV DINNER TRAY VINTAGE PAISLEY,52
330,84509A,SET OF  ENGLISH ROSE PLACEMATS,67
331,84510A,SET OF  ENGLISH ROSE COASTERS,67
332,22767,TRIPLE PHOTO FRAME CORNICE ,19
333,22768,FAMILY PHOTO FRAME CORNICE,19
334,21463,MIRRORED DISCO BALL ,6
335,21464,DISCO BALL ROTATOR BATTERY OPERATED,6
336,20820,SILVER LOOKING MIRROR,66
337,85150,LADIES & GENTLEMEN METAL SIGN,8
338,22117,METAL SIGN HER DINNER IS SERVED ,8
340,48129,DOORMAT TOPIARY,88
341,82580,BATHROOM METAL SIGN,8
342,82578,KITCHEN METAL SIGN,8
343,82581,TOILET METAL SIGN,8
344,22413,METAL SIGN TAKE IT OR LEAVE IT ,8
345,21907,I'M ON HOLIDAY METAL SIGN,8
346,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,46
347,21122,SET/ PINK POLKADOT PARTY CANDLES,18
348,22851,SET  NAPKINS FAIRY CAKES DESIGN ,77
350,22810,SET OF  T-LIGHTS SNOWMEN,65
351,22809,SET OF  T-LIGHTS SANTA,65
352,22435,SET OF  HEART SHAPED BALLOONS,96
353,20966,SANDWICH BATH SPONGE,6
354,20963,APPLE BATH SPONGE,6
355,20961,STRAWBERRY BATH SPONGE ,6
356,22068,BLACK PIRATE TREASURE CHEST,13
357,21743,STAR PORTABLE TABLE LIGHT ,6
358,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,6
359,84709B,PINK OVAL JEWELLED MIRROR,66
360,21592,RETROSPOT CIGAR BOX MATCHES ,34
361,21587,COSY HOUR GIANT TUBE MATCHES,51
362,20992,JAZZ HEARTS PURSE NOTEBOOK,88
365,22804,CANDLEHOLDER PINK HANGING HEART,98
367,20749,ASSORTED COLOUR MINI CASES,11
369,22382,LUNCH BAG SPACEBOY DESIGN ,21
370,20726,LUNCH BAG WOODLAND,21
371,22384,LUNCH BAG PINK POLKADOT,14
372,22467,GUMBALL COAT RACK,6
373,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,63
374,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,29
375,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,78
376,22848,BREAD BIN DINER STYLE PINK,6
378,47570B,TEA TIME TABLE CLOTH,86
384,22837,HOT WATER BOTTLE BABUSHKA ,27
387,22297,HEART IVORY TRELLIS SMALL,44
389,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,81
390,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,81
391,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,81
394,21125,SET  FOOTBALL CELEBRATION CANDLES,18
395,21126,SET OF  GIRLS CELEBRATION CANDLES,18
396,85049C,ROMANTIC PINKS RIBBONS ,69
397,85049D,BRIGHT BLUES RIBBONS ,69
399,85049G,CHOCOLATE BOX RIBBONS ,69
400,21061,PARTY INVITES FOOTBALL,6
401,21063,PARTY INVITES JAZZ HEARTS,88
402,21062,PARTY INVITES SPACEMAN,6
403,84380,SET OF  BUTTERFLY COOKIE CUTTERS,96
404,84378,SET OF  HEART COOKIE CUTTERS,96
405,22964, PIECE SPACEBOY COOKIE CUTTER SET,96
406,21213,PACK OF  SKULL CAKE CASES,54
407,22417,PACK OF  SPACEBOY CAKE CASES,54
409,84992, SWEETHEART FAIRY CAKE CASES,54
411,22383,LUNCH BAG SUKI  DESIGN ,21
412,20728,LUNCH BAG CARS BLUE,21
413,20727,LUNCH BAG  BLACK SKULL.,21
414,22296,HEART IVORY TRELLIS LARGE,44
415,20914,SET/ RED RETROSPOT LID GLASS BOWLS,61
435,22537,MAGIC DRAWING SLATE DINOSAUR,68
436,22533,MAGIC DRAWING SLATE BAKE A CAKE ,68
437,20982, PENCILS TALL TUBE SKULLS,51
439,21915,RED  HARMONICA IN BOX ,34
440,21914,BLUE HARMONICA IN BOX ,34
441,21544,SKULLS  WATER TRANSFER TATTOOS ,6
442,22813,PACK  BOXES BIRD PANNETONE ,6
447,84375,SET OF  KIDS COOKIE CUTTERS,96
448,22418, COLOUR SPACEBOY PEN,6
449,22178,VICTORIAN GLASS HANGING T-LIGHT,9
450,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,9
452,22465,HANGING METAL STAR LANTERN,92
453,84949,SILVER HANGING T-LIGHT HOLDER,9
454,20685,DOORMAT RED RETROSPOT,61
455,48194,DOORMAT HEARTS,88
456,22488,NATURAL SLATE RECTANGLE CHALKBOARD,68
457,22219,LOVEBIRD HANGING DECORATION WHITE ,98
462,22610,PENS ASSORTED FUNNY FACE,11
463,22716,CARD CIRCUS PARADE,73
464,22706,WRAP COWBOYS  ,76
465,22371,AIRLINE BAG VINTAGE TOKYO ,5
470,21210,SET OF  RETROSPOT PAPER  DOILIES,1
472,22553,PLASTERS IN TIN SKULLS,49
473,16237,SLEEPING CAT ERASERS,6
474,22714,CARD BIRTHDAY COWBOY,83
475,22812,PACK  BOXES CHRISTMAS PANNETONE,53
476,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,13
478,22736,RIBBON REEL MAKING SNOWMEN ,38
480,22620, TRADITIONAL SPINNING TOPS,6
482,21705,BAG g SWIRLY MARBLES,21
483,90199C, STRAND GLASS NECKLACE CRYSTAL,7
486,22785,SQUARECUSHION COVER PINK UNION FLAG,36
487,22975,SPACEBOY CHILDRENS EGG CUP,48
488,22972,CHILDREN'S SPACEBOY MUG,58
490,22568,FELTCRAFT CUSHION OWL,2
491,85116,BLACK CANDELABRA T-LIGHT HOLDER,9
492,22664,TOY TIDY DOLLY GIRL DESIGN,17
493,21609,SET  LAVENDER  BOTANICAL T-LIGHTS,65
494,21866,UNION JACK FLAG LUGGAGE TAG,36
495,20669,RED HEART LUGGAGE TAG,6
496,90129F,RED GLASS TASSLE BAG CHARM,41
497,90210B,CLEAR ACRYLIC FACETED BANGLE,81
499,21955,DOORMAT UNION JACK GUNS AND ROSES,36
500,72802C,VANILLA SCENT CANDLE JEWELLED BOX,84
501,22109,FULL ENGLISH BREAKFAST PLATE,6
503,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,68
504,21811,CHRISTMAS HANGING HEART WITH BELL,53
505,22183,CAKE STAND VICTORIAN FILIGREE MED,6
506,21678,PAISLEY PATTERN  STICKERS,32
507,21676,FLOWERS  STICKERS,32
511,85169B,BLACK LOVE BIRD CANDLE,29
512,16238,PARTY TIME PENCIL ERASERS,6
514,84906,PINK B'FLY C/COVER W BOBBLES,91
515,21867,PINK UNION JACK  LUGGAGE TAG,36
516,22075, RIBBONS ELEGANT CHRISTMAS ,69
518,21326,AGED GLASS SILVER T-LIGHT HOLDER,9
519,21065,BOOM BOX SPEAKER GIRLS,34
520,22074, RIBBONS SHIMMERING PINKS ,69
522,20713,JUMBO BAG OWLS,21
524,21116,OWL DOORSTOP,6
529,21824,PAINTED METAL STAR WITH HOLLY BELLS,85
530,21823,PAINTED METAL HEART WITH HOLLY BELL,22
531,22153,ANGEL DECORATION STARS ON DRESS,98
534,85099F,JUMBO BAG STRAWBERRY,21
535,20717,STRAWBERRY SHOPPER BAG,21
547,22328,ROUND SNACK BOXES SET OF  FRUITS ,96
548,22327,ROUND SNACK BOXES SET OF  SKULLS,96
549,22630,DOLLY GIRL LUNCH BOX,17
551,21245,GREEN POLKADOT PLATE ,14
552,21244,BLUE POLKADOT PLATE ,14
553,21242,RED RETROSPOT PLATE ,61
554,21243,PINK  POLKADOT PLATE ,14
556,22273,FELTCRAFT DOLL MOLLY,2
557,22940,FELTCRAFT CHRISTMAS FAIRY,2
559,22759,SET OF  NOTEBOOKS IN PARCEL,96
560,21880,RED RETROSPOT TAPE,61
561,21738,COSY SLIPPER SHOES SMALL  RED ,6
562,22077, RIBBONS RUSTIC CHARM,69
565,21448, DAISY PEGS IN WOOD BOX,34
573,22243, HOOK HANGER RED MAGIC TOADSTOOL,68
574,22141,CHRISTMAS CRAFT TREE TOP ANGEL,53
575,22144,CHRISTMAS CRAFT LITTLE FRIENDS,6
584,21739,COSY SLIPPER SHOES SMALL GREEN,6
586,22271,FELTCRAFT DOLL ROSIE,2
